Category,Permission,Desc,,运营,分公司运营,产品,销支,销管,销售,团队长,人事,财务,管理层,admin
product.perm,crm:product:list,产品列表,,*,,*,*,,,,,,,
,crm:product:raise:list,产品募集列表,,*,*,*,*,*,*,*,,,*,
,crm:product:detail,产品详情,,*,,*,*,*,*,*,,,*,
,crm:product:create,产品创建,,*,,*,,,,,,,,
,crm:product:base:update,产品基础信息更新,,*,,*,,,,,,,,
,crm:product:purchase:update,产品申购要素更新,,*,,*,,,,,,,,
,crm:product:rate:update,产品费用费率更新,,*,,,,,,,,,,
,crm:product:target:update,产品投资标的更新,,*,,*,,,,,,,,
,crm:product:operate:update,产品运营信息更新,,*,,,*,,,,,,,
,crm:product:shelve_on,产品上架,,*,,,*,,,,,,,
,crm:product:shelve_off,产品下架,,*,,,*,,,,,,,
,crm:product:material:list,产品材料列表,,*,,*,*,,,,,,,
,crm:product:material:create,产品材料创建,,*,,*,*,,,,,,,
,crm:product:material:delete,产品材料删除,,*,,*,*,,,,,,,
,crm:product:disc:list,产品信披报告列表,,*,,,,,,,,,,
,crm:product:disc:create,产品信披报告创建,,*,,,,,,,,,,
,crm:product:disc:delete,产品信披报告删除,,*,,,,,,,,,,
,crm:product:enum:material_type:sale_support,产品材料销售支持部权限,,,,,*,,,,,,,
,crm:product:enum:material_type:operate,产品材料运营部权限,,*,,,,,,,,,,
,crm:product:enum:material_type:product,产品材料产品部权限,,,,*,,,,,,,,
custom.perm,crm:custom:list,客户列表,,*,+,,,,,,,,,
,crm:custom:me:list,我的客户列表,,,,,,,-,,,,,
,crm:custom:detail,客户详情,,*,+,,,,-,,,,,
,crm:custom:create,客户创建,,*,+,,,,-,,,,,
,crm:custom:identity:create,创建证件信息,,*,+,,,,-,,,,,
,crm:custom:identity:update,补充证件信息,,*,+,,,,-,,,,,
,crm:custom:bankcard:list,客户银行卡列表,,*,+,,,,-,,,,,
,crm:custom:bankcard:create,客户银行卡创建,,*,+,,,,-,,,,,
,crm:custom:kyc:update,补充KYC资料,,*,+,,,,-,,,,,
,crm:custom:prove:update,补充资产证明,,*,+,,,,-,,,,,
,crm:custom:allocate,客户分配权限,,*,,,,,,,,,,
trade.perm,crm:trade:order:list,订单列表,,*,,,,,,,,,,
,crm:trade:order:me:list,我的订单列表,,,,,,,,,,,,
,crm:trade:order:raise:list,募集订单列表,,*,+,,,,,,,,,
,crm:trade:order:audit:list,审核订单列表,,*,,,,,,,,,,
,crm:trade:order:detail,订单详情,,*,+,,,,,,,,,
,crm:trade:order:create,订单创建,,*,+,,,,,,,,,
,crm:trade:order:audit,订单审核,,*,+,,,,,,,,,
,crm:trade:order:close,订单关闭,,*,+,,,,,,,,,
,crm:trade:order:base:update,订单基础信息补充,,*,+,,,,,,,,,
,crm:trade:order:contract:reclaim,订单合同收回,,*,+,,,,,,,,,
,crm:trade:order:contract:distribute,订单合同领取,,*,+,,,,,,,,,
,crm:trade:order:material:upload,订单资料上传,,*,+,,,,,,,,,
,crm:trade:order:wire:create,订单打款创建,,*,+,,,,,,,,,
,crm:trade:order:wire:confirm,订单打款确认,,*,,,,,,,,,,
,crm:trade:order:wire:close,订单打款关闭,,*,+,,,,,,,,,
,crm:trade:order:visit:update,订单回访信息补充,,*,+,,,,,,,,,
,crm:trade:order:scale:update,订单折标佣金补充,,,,,,*,,,,,,
,crm:trade:ta:download:list,TA报表下载列表,,*,,,,,,,,,,
,crm:trade:ta:download,TA报表下载,,*,,,,,,,,,,
,crm:trade:settle:operate:list,运营日清列表,,*,,,,,,,,,,
,crm:trade:settle:operate:audit,运营日清审核,,*,,,,,,,,,,
,crm:trade:settle:sale_support:list,销支日清列表,,,,,*,,,,,,,
,crm:trade:settle:sale_support:audit,销支日清审核,,,,,*,,,,,,,
,crm:trade:settle:history:list,日清历史列表,,*,,,*,,,,,,,
report.perm,crm:report:order:audit:list,订单核对列表,,,,,,*,,,,,,
,crm:report:order:audit:adjust,订单核对调整,,,,,,*,,,,,,
,crm:report:order:audit:confirm,订单核对确认,,,,,,*,,,,,,
,crm:report:order:audit:transfer,订单核对转移,,,,,,*,,,,,,
,crm:report:order:final_audit:confirm,订单终核确认,,,,,,*,,,,,,
,crm:report:final_audit:unconfirmed:list,个人终核待确认记录,,,,,,*,-,,,,,
,crm:report:final_audit:error:list,个人终核待确认记录,,,,,,*,-,,,,,
,crm:report:final_audit:confirm:list,个人终核待确认记录,,,,,,*,-,,,,,
,crm:report:adviser:bonus:detail,理财师佣金明细,,,,,,*,-,,,,*,
,crm:report:adviser:bonus:history,理财师佣金历史,,,,,,*,-,,,,*,
,crm:report:adviser:bonus:download:list,理财师佣金下载列表,,,,,,*,,,*,,*,
